Location,Total Offenses
Air/Bus/Train Terminal,1
Bank/Savings and Loan,0
Bar/Night Club,2
Church/Synagogue/Temple,13
Commercial/Office Building,42
Construction Site,25
Convenience Store,12
Department/Discount Store,11
Drug Store/Doctor's Office/Hospital,14
Field/Woods,210
Government/Public Building,28
Grocery/Supermarket,6
Highway/Road/Alley,173
Hotel/Motel/Etc.,8
Jail/Prison,2
Lake/Waterway,2
Liquor Store,0
Parking Lot/Garage,107
Rental Storage Facility,12
Residence/Home,744
Restaurant,23
School/College,132
Service/Gas Station,11
Specialty Store,11
Other/Unknown,199
Total,1788