Arrests by Offense,Rockingham,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,0
Robbery,0,0
Aggravated Assault,9,2
Simple Assault/Intimidation,54,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,17,0
Larceny,55,1
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,8,0
Fraud,15,0
Embezzlement,6,0
Stolen Property,9,0
Vandalism,20,3
Drug/Narcotic Offenses,152,8
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,1
TOTAL GROUP A,384,22
Bad Checks,80,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,4
Driving Under Influence,192,6
Drunkenness,226,0
"Family Offenses, Nonforcible",6,0
Liquor Laws Violations,51,14
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,32,0
Conspiracy,1,0
All Other (except Traffic),491,45
TOTAL GROUP B,1088,70
GRAND TOTAL,1472,92