Month ,Adult Male ,Adult Female ,Juvenile ,TOTAL
January ,48,16,0,64
February ,74,11,0,85
March ,82,11,1,94
April ,84,15,0,99
May ,81,25,0,106
June ,57,8,0,65
July ,54,23,0,77
August ,85,18,0,103
September ,117,29,2,148
October ,153,35,0,188
November ,68,14,0,82
December ,53,9,0,62
TOTAL ,956,214,3,1173