Month,Adult Male,Adult Female,Juvenile,TOTAL
January,39,11,4,54
February,56,17,0,73
March,67,14,0,81
April,84,15,0,99
May,65,25,3,93
June,56,10,1,67
July,61,17,2,80
August,58,17,0,75
September,78,11,2,91
October,86,20,3,109
November,80,14,11,105
December,44,13,2,59
TOTAL,774,184,28,986