Year,Burglary,Larceny,Total Property Crime,Property Crime Rate
2004,318,1876,2194,4800.875
2005,365,1798,2163,4788.258
2006,436,1612,2048,4623.755
2007,552,1782,2334,5322.327
2008,509,2106,2615,5927.420
2009,519,1646,2165,4966.052
2010,549,1482,2031,4732.280
2011,474,1474,1948,4495.523
2012,423,1483,1906,4391.705
2013,450,1512,1962,4572.148
2014,394,1320,1714,3988.365