Date,Mission,Location
2014-07-14,Subject Pursuit,Monument Dr. / Fair Ridge Dr.
2014-07-14,Subject Pursuit,Rt. 50 / Rt. 286
2014-07-13,Burglary,6800 blk RidgeWater Ct
2014-07-13,Robbery,7600 blk Little River Tpk
2014-07-13,Robbery,6200 blk Little River Tpk
2014-07-13,Hit & Run,10000 blk Orchard St
2014-07-13,Subject Pursuit,New Dominion Pkwy / Rt 286
2014-07-12,Hit & Run,Braddock Rd / Union Mill Rd
2014-07-12,Malicious Wounding,12000 blk Pinecrest Rd
2014-07-12,Missing Critical Adult,8300 blk Cottage St