Group A Offenses,2013,2014,Cases +/-,% Change
Assault Offenses (Non-Aggravated)*,623,522,-101,-16%
Bribery,0,0,0,N/A
Counterfeiting/Forgery,42,59,17,40%
Vandalism of Property,343,398,55,16%
Drug/Narcotic Offenses,283,327,44,16%
Embezzlement,9,15,6,67%
Extortion/Blackmail,0,0,0,N/A
Fraud Offenses,139,125,-14,-10%
Gambling Offenses,0,0,0,N/A
Kidnapping Offenses*,8,5,-3,-38%
Pornography/Obscene Material,1,5,4,400%
Prostitution Offenses,0,25,25,N/A
"Sex Offenses, Forcible*",5,16,11,220%
"Sex Offenses, Non-Forcible*",2,1,-1,-50%
Stolen Property Offenses,9,12,3,33%
Weapons Law Violations,72,87,15,21%
Total Group A Offenses,1536,1597,61,4%
"90 (A-Z) Curfew violations, quality of life calls such as loud music, etc.",568,649,81,14%
9999 (Non-Reportables),1948,2416,468,24%
Grand Total (Including Major Crime),4930,5417,487,10%