Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",8,0
Robbery,5,0
Aggravated Assault,16,1
Simple Assault/Intimidation,291,1
Arson,2,0
Extortion/Blackmail,0,0
Burglary,34,0
Larceny,85,6
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,25,0
Drug/Narcotic Offenses,89,4
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,25,0
TOTAL GROUP A,598,13
Bad Checks,11,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,10,0
Driving Under Influence,95,0
Drunkenness,122,0
"Family Offenses, Nonforcible",69,1
Liquor Laws Violations,13,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,44,0
Conspiracy,0,0
All Other (except Traffic),541,6
TOTAL GROUP B,905,7
GRAND TOTAL,1503,20